player_id,clicked,choice_number,new_choice_number,play_time,me_final,priority_final,people_final,refusal_final,know_final,s5_mean,s5_final,choice_ratio,gender_Female,gender_Male,race_African American,race_Caucasian,race_Hispanic,age_11.0,age_12.0,age_13.0,age_14.0,weeks_0,weeks_3,weeks_6,weeks_12,weeks_24
6486013,679,97,48,29712,21.0,18.0,13.0,12.0,7.0,4.0,4.0,0.4948453608247423,0,1,0,1,0,0,0,1,0,1,0,0,0,0
6486018,1332,122,97,537862,30.0,30.0,29.0,27.0,28.0,2.7,3.1,0.7950819672131147,0,1,1,0,0,0,1,0,0,0,0,1,0,0
6486019,1050,163,70,2184139,27.0,30.0,18.0,24.0,20.0,3.725,4.0,0.4294478527607362,0,1,0,0,1,0,0,1,0,0,0,0,1,0
6486020,1196,170,97,31991,27.0,26.0,23.0,24.0,25.0,4.0,4.0,0.5705882352941176,0,1,0,0,1,0,1,0,0,1,0,0,0,0
6486023,664,43,20,1755265,30.0,30.0,29.0,30.0,27.0,3.975,4.0,0.4651162790697674,1,0,0,0,1,0,0,0,1,0,0,0,1,0
6486025,907,75,59,38031,27.0,28.0,26.0,24.0,25.0,3.966666666666667,4.0,0.7866666666666666,1,0,0,1,0,0,0,0,1,0,0,0,1,0
6486026,847,114,58,378346,27.0,24.0,17.0,20.0,19.0,4.0,4.0,0.5087719298245614,0,1,1,0,0,0,0,1,0,0,0,0,1,0
6486029,1306,102,67,26483,30.0,30.0,29.0,27.0,29.0,3.875,3.5,0.6568627450980392,0,1,0,0,1,0,0,0,1,0,0,0,1,0
6486032,925,168,73,30228,27.0,28.0,22.0,24.0,22.0,3.975,3.9,0.4345238095238095,0,1,0,1,0,0,0,0,1,0,0,0,1,0
6486033,574,152,62,22491,27.0,21.0,14.0,15.0,21.0,4.0,4.0,0.4078947368421052,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6486034,1102,120,65,31364,27.0,30.0,16.0,24.0,21.0,3.9,3.9,0.5416666666666666,1,0,0,0,1,0,1,0,0,1,0,0,0,0
6486038,916,192,71,32221,30.0,27.0,26.0,27.0,26.0,4.0,4.0,0.3697916666666667,1,0,0,0,1,0,1,0,0,0,0,0,1,0
6486039,971,122,70,36571,27.0,30.0,25.0,27.0,24.0,4.0,4.0,0.5737704918032787,0,1,0,1,0,1,0,0,0,0,0,0,1,0
6486040,741,108,68,29527,27.0,21.0,21.0,24.0,22.0,3.95,3.9,0.6296296296296297,1,0,0,0,1,1,0,0,0,0,0,0,1,0
6506008,1034,83,67,35088,30.0,30.0,27.0,27.0,26.0,3.8,3.3,0.8072289156626506,0,1,0,1,0,0,1,0,0,0,0,0,0,1
6506009,595,57,37,20959,18.0,7.0,11.0,12.0,7.0,3.9333333333333336,4.0,0.6491228070175439,0,1,1,0,0,1,0,0,0,0,0,0,0,1
6546001,882,300,139,36803,27.0,29.0,24.0,24.0,22.0,3.835,3.8,0.4633333333333333,0,1,1,0,0,0,1,0,0,0,0,0,0,1
6546005,960,132,61,35664,24.0,15.0,15.0,21.0,15.0,3.76,3.7,0.4621212121212121,0,1,0,1,0,0,1,0,0,0,0,0,0,1
6546006,1977,101,68,40744,27.0,18.0,19.0,24.0,20.0,4.0,4.0,0.6732673267326733,1,0,1,0,0,1,0,0,0,0,0,0,0,1
6546008,817,85,46,37949,12.0,12.0,12.0,9.0,9.0,3.966666666666667,4.0,0.5411764705882353,0,1,0,0,1,0,1,0,0,0,0,1,0,0
6546011,739,72,46,22086,15.0,17.0,14.0,15.0,14.0,3.6666666666666665,3.8,0.6388888888888888,1,0,1,0,0,1,0,0,0,0,0,1,0,0
6566001,1132,143,67,645652,27.0,24.0,17.0,20.0,14.0,4.0,4.0,0.4685314685314685,1,0,1,0,0,1,0,0,0,0,0,1,0,0
6566003,718,110,51,29673,18.0,15.0,16.0,20.0,13.0,4.0,4.0,0.4636363636363636,0,1,0,1,0,0,0,1,0,0,1,0,0,0
6567002,654,145,60,21990,27.0,19.0,17.0,24.0,18.0,3.92,4.0,0.4137931034482758,0,1,1,0,0,0,0,0,1,0,0,0,0,1
6567003,2276,307,167,185411,30.0,30.0,29.0,27.0,29.0,4.0,4.0,0.5439739413680782,0,1,1,0,0,0,1,0,0,0,0,0,0,1
6606001,244,28,7,8954,6.0,3.0,4.0,0.0,3.0,3.8,3.6,0.25,0,1,0,0,1,1,0,0,0,0,1,0,0,0
6606002,346,33,12,12483,9.0,3.0,6.0,3.0,3.0,3.1,3.1,0.3636363636363636,1,0,0,0,1,0,0,1,0,1,0,0,0,0
6606003,1015,152,82,42713,27.0,30.0,24.0,27.0,21.0,3.68,4.0,0.5394736842105263,1,0,0,0,1,0,0,0,1,0,0,0,0,1
6606004,1486,81,65,40558,27.0,30.0,27.0,27.0,23.0,3.98,4.0,0.8024691358024691,1,0,1,0,0,0,0,1,0,0,0,0,0,1
6606005,799,173,90,32116,27.0,30.0,23.0,27.0,23.0,3.75,4.0,0.5202312138728323,1,0,0,0,1,0,1,0,0,0,0,0,1,0
6606006,619,94,62,27294,27.0,23.0,14.0,12.0,7.0,4.0,4.0,0.6595744680851063,0,1,0,1,0,0,1,0,0,0,1,0,0,0
6606011,173,20,11,9107,6.0,3.0,2.0,0.0,2.0,3.8666666666666663,3.8,0.55,1,0,0,1,0,0,0,0,1,0,0,1,0,0
6607006,1029,169,65,38231,27.0,27.0,22.0,24.0,22.0,3.675,4.0,0.3846153846153846,1,0,0,0,1,0,0,1,0,0,0,0,0,1
6607007,390,115,38,676958,21.0,6.0,9.0,12.0,6.0,4.0,4.0,0.3304347826086956,1,0,0,0,1,0,1,0,0,0,0,0,0,1
6607008,996,129,70,542777,27.0,24.0,17.0,16.0,13.0,3.9,3.9,0.5426356589147286,0,1,0,1,0,0,0,1,0,0,0,0,0,1
6607009,111,23,8,2644,6.0,0.0,0.0,0.0,0.0,3.98,4.0,0.3478260869565217,0,1,0,0,1,0,0,0,1,0,0,0,0,1
6607010,998,106,67,29906,30.0,27.0,26.0,27.0,26.0,4.0,4.0,0.6320754716981132,0,1,0,0,1,0,1,0,0,0,0,0,0,1
6608002,1501,137,70,31983,30.0,29.0,27.0,30.0,26.0,3.98,4.0,0.5109489051094891,1,0,0,0,1,1,0,0,0,0,0,0,0,1
